gene, ct.1,ct.2,ct.3,ct.4,kd.1,kd.2,kd.3
FBgn0000346,47,46,117,83,86,112,134
FBgn0000351,21,28,33,25,29,34,54
FBgn0000352,593,580,1192,798,652,677,1064
FBgn0000370,6852,8564,18958,14265,7969,8636,16099
FBgn0000376,862,975,1655,970,1108,1066,1333
FBgn0000377,606,666,1199,810,703,831,1002
FBgn0000382,596,578,1287,613,539,596,951
FBgn0000384,285,349,847,987,391,372,920
FBgn0000394,435,519,912,728,432,531,680
FBgn0000395,445,369,949,354,311,335,574
FBgn0000404,1617,1757,3910,3002,1919,2112,3718
FBgn0000405,1253,1296,2941,2419,2267,2210,3637
FBgn0000406,261,401,608,212,64,96,110
FBgn0000409,2515,3505,7036,4681,3228,3541,4726
FBgn0000412,1769,1943,4266,2237,2357,2398,3851
FBgn0000413,2200,2023,3298,2062,2157,2345,2844
FBgn0000414,1707,1735,3532,2791,1667,1809,2652
FBgn0000416,28112,32801,64276,46054,25473,27638,41426
FBgn0000426,356,491,1125,628,496,669,938
FBgn0000447,314,422,814,478,537,623,976
FBgn0000454,1866,2156,3610,2656,2180,2459,2792
FBgn0000455,413,480,653,500,404,428,543
FBgn0000464,1195,1088,2517,1526,1191,1213,2057
FBgn0000479,657,759,1673,939,696,749,1103
FBgn0000482,811,893,1642,1130,926,1035,1135
FBgn0000489,79,82,136,99,94,100,135
FBgn0000490,112,105,225,85,211,202,322
FBgn0000499,718,703,1352,808,767,882,959
FBgn0000520,417,498,695,515,527,593,544
FBgn0000524,541,585,1096,742,858,807,1079
FBgn0000527,112,128,196,151,104,76,115
FBgn0000535,234,187,478,205,141,134,281
FBgn0000536,494,592,1451,1158,647,689,1406
FBgn0000541,3245,2869,9622,5530,3217,3030,7938
FBgn0000542,123,126,225,87,127,146,173
FBgn0000543,451,559,924,595,606,758,692
FBgn0000546,727,628,1507,802,694,672,1112
FBgn0000547,244,204,431,193,300,369,494
FBgn0000556,130453,165299,293366,206540,144953,162846,194210
FBgn0000557,25,33,56,31,27,43,55
FBgn0000559,69919,86819,147825,111560,86110,95764,123016
FBgn0000562,1069,1022,2332,1468,1119,1126,1606
FBgn0000565,307,409,750,391,633,759,822
FBgn0000566,423,598,1092,871,729,640,941
FBgn0000567,263,243,456,280,119,103,187
FBgn0000568,3444,2900,6326,2181,2776,2847,4080
FBgn0000575,936,832,2107,1118,1038,1159,2556
FBgn0000578,4424,4086,9387,5132,3732,3929,5762
FBgn0000579,5253,5936,9782,6442,8570,9160,10441
FBgn0000581,2662,2432,5260,3164,2626,2544,3666
FBgn0000588,232,287,505,355,283,254,340
FBgn0000611,860,1070,2368,1649,963,981,1836
FBgn0000615,208,266,504,536,294,266,553
FBgn0000617,554,685,891,755,686,720,818
FBgn0000618,64,120,221,130,115,154,196
FBgn0000629,807,853,1422,1056,807,933,1093
FBgn0000635,121,110,210,50,140,166,189
FBgn0000636,37,45,89,47,31,38,74
FBgn0000662,831,831,1864,1207,872,907,1357
FBgn0000667,1105,1261,2033,1278,1152,1218,1347
FBgn0000709,1770,1763,3393,2079,1628,1803,2533
FBgn0000711,638,757,1773,1194,802,848,1823
FBgn0000719,1605,1479,3131,1926,1459,1757,2370
FBgn0000721,640,648,1294,802,743,782,1170
FBgn0000723,1538,1593,3112,1904,1564,1727,2427
FBgn0000808,79,114,224,107,98,111,158
FBgn0000810,164,164,601,272,194,186,456
FBgn0000826,70,74,134,105,112,146,142
FBgn0000927,30,26,26,22,31,32,43
FBgn0000928,399,438,714,626,646,665,898
FBgn0000996,804,922,2127,1207,841,870,1361
FBgn0001075,39,32,71,28,37,32,58
FBgn0001078,1156,1041,2340,1096,1156,1154,2055
FBgn0001079,253,272,492,413,298,321,441
FBgn0001083,133,135,184,235,165,169,220
FBgn0001084,38,49,90,64,52,67,106
FBgn0001086,729,778,1676,1256,862,920,1423
FBgn0001087,1180,1322,2380,1569,1361,1535,2057
FBgn0001090,31,19,41,30,38,47,57
FBgn0001091,2358,2707,3978,3253,4596,5100,5077
FBgn0001092,4975,6340,10275,9310,8521,9738,10295
FBgn0001098,374,425,760,450,341,388,486
FBgn0001104,4498,4787,10579,7098,5298,5859,9307
FBgn0001105,3257,3658,8979,5207,4029,4337,8585
FBgn0001108,1649,1725,3080,2083,1665,1810,2264
FBgn0001114,29804,34025,68232,39364,25356,27742,30898
FBgn0001122,505,483,1636,859,859,942,2208
FBgn0001123,558,590,2129,991,600,674,1684
FBgn0001124,692,807,1415,859,1230,1371,1850
FBgn0001125,1663,1978,3240,2680,1852,2008,2378
FBgn0001128,188,226,425,289,161,204,296
FBgn0001133,310,411,664,499,380,430,470
FBgn0001137,387,495,863,739,180,208,390
FBgn0001139,3034,3285,6924,3312,3030,3404,4494
FBgn0001142,289,367,548,184,285,305,497
FBgn0001145,313,346,684,216,379,407,501
FBgn0001149,1285,1707,3337,2063,1527,1751,2412
FBgn0001150,30,39,77,34,29,35,40
FBgn0001168,1979,2055,5108,1706,2098,2361,3910
FBgn0001169,1005,933,2042,1275,1076,1120,1717
FBgn0001179,581,660,1322,831,757,836,1203
FBgn0001185,265,318,754,475,296,394,641
FBgn0001186,1801,1922,4391,2328,2089,2308,3504
FBgn0001189,810,908,1810,1372,1178,1193,1705
FBgn0001197,1815,2371,4591,3322,2931,3229,4754
FBgn0001202,447,584,1060,839,495,583,965
FBgn0001206,324,369,778,502,551,579,813
FBgn0001215,4518,4621,9387,6189,4495,5192,6631
FBgn0001218,19533,23939,47816,26568,22948,27627,33179
FBgn0001219,50068,66462,108085,81323,75444,85193,86234
FBgn0001220,3632,4507,8367,6693,4728,5137,7417
FBgn0001222,701,798,1744,1084,725,863,1338
FBgn0001224,187,307,493,314,654,861,1109
FBgn0001225,158,224,328,247,473,597,712
FBgn0001226,395,610,925,459,1568,1807,2307
FBgn0001230,129,137,280,122,148,174,205
FBgn0001233,27998,34968,56618,42821,38543,40165,56195
FBgn0001234,933,767,1926,969,623,638,2051
FBgn0001247,751,882,2091,1241,1022,1092,1904
FBgn0001248,1726,2180,3411,2924,2613,2803,3136
FBgn0001250,30,33,61,32,30,38,44
FBgn0001257,5114,5619,14278,5579,8612,9989,15675
FBgn0001258,700,893,1565,1081,1692,1895,2259
FBgn0001263,30,32,78,35,34,30,33
FBgn0001276,78,132,283,144,111,123,207
FBgn0001280,281,383,933,614,404,488,889
FBgn0001291,797,920,1942,1130,860,1026,1315
FBgn0001296,55,55,100,51,54,73,58
FBgn0001297,9235,8969,18310,9468,7348,7812,11096
FBgn0001301,749,783,1325,1140,940,955,1471
FBgn0001308,3087,3136,5572,3689,3058,3389,3940
FBgn0001316,8582,8413,17553,10449,10463,11249,14941
FBgn0001324,1796,1871,3275,2417,2029,2061,2570
FBgn0001330,311,330,584,462,325,327,501
FBgn0001332,916,991,1963,1169,724,744,1103
FBgn0001337,445,439,1031,705,559,580,855
FBgn0001341,206,232,540,428,277,249,456
FBgn0001404,813,784,2054,1242,1001,1137,1849
FBgn0001491,138,195,521,297,174,188,383
FBgn0001565,1531,1991,2900,2330,1601,1856,2487
FBgn0001612,391,484,984,818,515,536,1012
FBgn0001624,4454,4301,10463,6179,4221,4582,7355
FBgn0001941,1757,2127,5031,3698,1875,2158,3649
FBgn0001942,39466,52228,88588,61541,42780,47413,58333
FBgn0001961,4757,5691,8705,6173,5493,6055,6036
FBgn0001965,1292,1319,2547,1657,1374,1530,1854
FBgn0001974,245,247,503,299,245,301,368
FBgn0001977,374,510,944,606,651,678,1126
FBgn0001978,4170,4507,8204,4735,4619,5147,6131
FBgn0001986,1001,1129,2003,1594,1089,1095,1394
FBgn0001987,366,360,638,576,483,564,725
FBgn0001989,564,724,1283,719,618,603,911
FBgn0001990,270,332,716,465,294,344,539
FBgn0001994,2070,1955,4969,1768,2179,2350,3706
FBgn0001995,308,387,643,425,388,422,505
FBgn0002021,158,189,374,251,202,243,358
FBgn0002022,783,1049,1844,1367,1003,1108,1469
FBgn0002031,2073,2581,3682,3110,3027,3146,3753
FBgn0002036,37,59,95,88,46,61,72
FBgn0002044,1935,2051,4247,2526,2101,2068,3114
FBgn0002069,2532,3196,5160,3704,3355,3692,4701
FBgn0002121,2256,1912,6172,3602,1817,1827,4930
FBgn0002174,802,882,1298,891,927,962,961
FBgn0002183,4889,5722,11801,7346,5682,6414,8312
FBgn0002283,239,280,445,424,261,311,397
FBgn0002284,975,1200,1939,1733,1443,1502,1984
FBgn0002354,74,134,205,170,105,137,214
FBgn0002413,2079,2234,4863,2674,2193,2352,3710
FBgn0002431,3882,3947,10005,6845,4353,3853,8292
FBgn0002440,22,27,34,60,29,31,59
FBgn0002441,1136,1269,2506,1765,1317,1400,1881
FBgn0002466,1439,1536,3237,2407,1795,1747,2971
FBgn0002521,215,199,851,678,192,212,970
FBgn0002524,3374,3892,7729,6233,3973,3956,7046
FBgn0002525,3193,3290,6849,4966,4117,4175,5553
FBgn0002526,56592,57705,128567,85695,68209,64117,104666
FBgn0002528,9792,10438,18215,11856,11416,11774,14382
FBgn0002542,826,908,1842,1305,987,1014,1656
FBgn0002543,639,557,1076,340,959,971,1372
FBgn0002552,774,882,1276,1087,912,1016,966
FBgn0002566,1095,978,3227,2637,1026,983,3706
FBgn0002567,21,29,44,35,55,61,80
FBgn0002576,267,223,377,78,253,227,242
FBgn0002577,98,119,201,143,110,138,165
FBgn0002579,6823,9673,21790,9551,7780,8899,13070
FBgn0002590,22741,31708,46622,35700,26694,30303,35859
FBgn0002593,15333,20531,35113,25485,18054,18953,24647
FBgn0002607,22047,30640,43120,36625,26407,29444,33596
FBgn0002609,37,35,64,77,15,13,32
FBgn0002622,28992,40572,57666,38307,35713,40988,41022
FBgn0002626,23625,34906,50837,40283,28976,34500,32085
FBgn0002638,1925,2209,3919,2802,2019,2074,2776
FBgn0002641,246,300,525,378,333,336,589
FBgn0002643,2578,2232,4274,2468,2259,2332,3057
FBgn0002645,4344,3911,10467,6906,4690,4806,10805
FBgn0002652,186,194,737,311,257,244,638
FBgn0002673,68,58,137,93,62,65,105
FBgn0002707,181,209,453,300,242,253,369
FBgn0002715,85,111,235,165,159,135,280
FBgn0002716,42,41,66,42,30,39,63
FBgn0002719,5879,6606,11076,5598,6288,7111,8288
FBgn0002723,528,495,1070,426,441,500,717
FBgn0002733,186,219,397,322,241,279,382
FBgn0002736,316,406,934,642,386,478,643
FBgn0002773,32,59,77,37,14,25,29
FBgn0002774,576,671,1421,1020,678,714,1280
FBgn0002775,249,337,680,422,283,323,430
FBgn0002778,865,973,1878,1746,630,708,1229
FBgn0002780,2434,2734,7353,4855,2065,2243,5537
FBgn0002781,2941,3344,6035,4009,3446,3752,4556
FBgn0002783,2713,2835,5969,3532,2999,3160,4406
FBgn0002787,1129,1279,2289,1642,1409,1601,1969
FBgn0002791,219,264,593,449,319,322,599
FBgn0002868,69,92,312,222,22,25,48
FBgn0002872,407,391,1049,672,527,566,1057
FBgn0002873,1293,1106,2913,2256,1557,1612,3258
FBgn0002878,597,592,1172,866,642,648,815
FBgn0002891,625,622,1356,857,866,922,1416
FBgn0002899,232,295,601,488,312,281,556
FBgn0002901,122,120,291,199,142,140,266
FBgn0002905,429,498,1040,709,561,532,916
FBgn0002906,331,399,1006,607,337,360,676
FBgn0002914,1305,1550,3529,2325,1534,1636,2697
FBgn0002917,45,49,67,73,72,46,82
FBgn0002921,8913,9794,19471,13072,11886,12622,17105
FBgn0002924,3123,3672,6729,4425,4109,4496,5227
FBgn0002926,74,53,128,125,92,76,144
FBgn0002931,60,57,155,99,50,60,114
FBgn0002932,109,135,396,256,134,149,412
FBgn0002945,64,49,119,39,23,26,45
FBgn0002948,166,193,423,309,241,216,389
FBgn0002968,2514,2792,5888,3844,2683,3041,4242
FBgn0002973,134,137,296,155,127,137,227
FBgn0002989,228,238,469,392,266,290,319
FBgn0003008,71,110,241,167,107,118,214
FBgn0003016,205,209,475,241,229,259,386
FBgn0003022,831,974,1571,1016,1088,1240,1402
FBgn0003041,887,1025,1921,1552,1416,1500,2380
FBgn0003042,152,130,267,192,118,169,247
FBgn0003044,1252,1274,2667,1600,1494,1534,1997
FBgn0003048,3500,3022,6306,4192,4096,3971,5749
FBgn0003053,84,73,130,31,124,144,181
FBgn0003062,1805,1955,2537,2109,2389,2254,1884
FBgn0003067,1032,1084,1917,566,925,969,1225
FBgn0003068,140,144,196,133,130,165,140
FBgn0003071,1096,1172,1896,1080,1099,1343,1460
FBgn0003074,1159,1326,2456,1794,2281,2310,2918
FBgn0003076,718,920,1809,1193,1460,1708,2188
FBgn0003079,368,470,923,639,483,550,892
FBgn0003082,334,455,646,709,471,431,656
FBgn0003087,38,34,160,143,60,49,238
FBgn0003093,1179,1310,2625,1293,1081,1258,1534
FBgn0003116,98,103,210,162,103,108,207
FBgn0003117,4350,4538,7787,6379,4100,4231,5103
FBgn0003118,4692,4667,11032,5519,5321,5488,8439
FBgn0003124,1344,1516,3327,2339,1869,2004,3422
FBgn0003134,796,946,2168,1184,922,999,1542
FBgn0003137,2262,2303,4708,3272,5158,5024,7083
FBgn0003138,1688,1806,3784,2169,1839,2137,2718
FBgn0003139,373,508,836,678,555,600,792
FBgn0003141,187,278,752,422,250,289,520
FBgn0003159,526,501,1382,576,605,639,1069
FBgn0003162,52,64,126,57,74,75,127
FBgn0003165,4047,3814,9442,3345,4750,4731,8693
FBgn0003169,1021,1088,2401,1676,1022,1106,1799
FBgn0003175,1580,1501,3186,1599,1557,1665,1948
FBgn0003178,4215,4834,7385,6030,5283,5679,6576
FBgn0003189,3053,3214,5170,4676,3390,3276,4010
FBgn0003204,922,1023,1468,1237,932,965,1104
FBgn0003205,1513,1759,3724,2877,1731,1908,3056
FBgn0003206,483,632,1379,1016,616,692,1295
FBgn0003209,642,722,1291,916,797,867,1241
FBgn0003210,933,1015,2079,1362,1123,1246,1932
FBgn0003218,589,607,993,773,652,632,948
FBgn0003227,152,160,277,204,189,219,311
FBgn0003231,2008,2300,5116,2910,1975,2319,3535
FBgn0003256,336,315,1058,785,263,269,1319
FBgn0003257,427,470,864,649,640,595,790
FBgn0003261,11306,12436,25752,13896,11150,11595,17830
FBgn0003268,1450,1618,3345,2813,1901,1843,3206
FBgn0003274,15266,20920,28158,21150,20063,20081,32238
FBgn0003275,362,532,894,690,497,548,770
FBgn0003277,7641,7783,15640,10318,8720,8818,11716
FBgn0003278,404,469,1064,765,447,476,901
FBgn0003279,48841,61626,86938,58578,52756,53974,49697
FBgn0003301,948,829,1290,956,983,1059,1034
FBgn0003302,68,57,151,65,59,58,73
FBgn0003308,182,205,321,310,165,182,179
FBgn0003310,998,960,1796,1305,1065,1203,1596
FBgn0003317,699,879,1653,1254,1247,1300,2182
FBgn0003321,923,970,2315,1375,908,980,1587
FBgn0003328,590,638,1181,925,491,589,840
FBgn0003330,386,512,814,558,560,594,620
FBgn0003334,1150,1140,2244,1453,1072,1229,1653
FBgn0003345,1880,1915,5146,2705,2081,2107,4215
FBgn0003346,793,981,1995,1523,978,1177,1718
FBgn0003353,77,70,201,129,103,108,193
FBgn0003360,3655,4731,11266,8869,603,616,984
FBgn0003371,2278,2099,4730,2441,2080,2198,3677
FBgn0003390,28,36,77,47,69,63,88
FBgn0003391,644,691,1274,1081,711,753,915
FBgn0003392,1863,2100,4164,3229,1884,1972,3621
FBgn0003396,3025,2623,6807,3076,2533,2552,4108
FBgn0003401,118,170,323,196,197,221,313
FBgn0003410,569,563,1311,852,623,639,1256
FBgn0003415,1761,1492,3533,2022,1682,1644,2647
FBgn0003416,796,783,1498,1397,884,923,1604
FBgn0003423,345,379,812,674,414,451,730
FBgn0003435,128,118,307,139,140,116,254
FBgn0003444,310,348,854,496,375,372,865
FBgn0003447,9,16,28,8,46,56,94
FBgn0003449,289,372,822,450,362,422,718
FBgn0003459,446,460,1159,647,463,529,912
FBgn0003462,1008,1362,2068,1632,1303,1393,1649
FBgn0003463,1009,1091,2089,1046,1007,1176,1533
FBgn0003464,3066,3239,4766,3780,3492,3804,3971
FBgn0003475,2186,1976,3975,2389,2432,2693,3417
FBgn0003479,251,315,538,390,324,383,467
FBgn0003480,30,49,86,52,39,44,83
FBgn0003483,431,457,974,794,535,537,954
FBgn0003495,2376,2867,8906,4853,3175,3482,7409
FBgn0003499,29,26,52,11,31,29,34
FBgn0003502,628,723,1440,802,1166,1270,1971
FBgn0003507,4361,4470,8548,5648,4005,3985,4700
FBgn0003510,49,57,137,95,74,94,91
FBgn0003511,225,269,566,308,266,332,336
FBgn0003512,673,833,1289,899,817,842,955
FBgn0003514,2580,3295,5892,4660,3545,3902,5229
FBgn0003517,59517,80276,107146,82229,80641,82456,78487
FBgn0003520,1447,1357,3530,1666,1537,1635,2884
FBgn0003525,1028,1132,3020,1371,757,828,1337
FBgn0003545,369,443,931,742,435,473,786
FBgn0003557,2051,2094,4182,2732,1760,1860,2837
FBgn0003559,1070,1324,2441,1905,1237,1346,2220
FBgn0003567,583,636,1541,1073,660,691,1132
FBgn0003575,719,748,1559,840,639,668,935
FBgn0003598,595,673,1217,907,731,744,995
FBgn0003607,1561,1893,4962,2557,1696,1905,3461
FBgn0003612,1185,1327,2860,2031,1344,1424,2154
FBgn0003638,853,858,1808,985,794,842,1119
FBgn0003654,312,372,907,644,360,337,558
FBgn0003655,105,119,223,208,100,108,147
FBgn0003656,1026,1089,2084,1288,1197,1390,1752
FBgn0003660,1703,2309,4972,2784,1947,2327,3332
FBgn0003676,2730,3477,5207,4699,3888,4340,5355
FBgn0003687,203,258,468,328,255,304,375
FBgn0003701,410,427,943,662,415,420,861
FBgn0003714,149,174,439,268,236,250,406
FBgn0003716,408,523,856,644,485,499,794
FBgn0003721,2456,2588,7086,4631,2505,2662,6465
FBgn0003731,106,119,208,89,105,118,131
FBgn0003732,3514,3777,8698,6413,4867,4855,9114
FBgn0003741,76,109,206,109,110,128,176
FBgn0003742,263,324,588,364,315,321,475
FBgn0003744,588,705,1530,953,634,672,1024
FBgn0003748,443,516,1118,792,1185,1227,1985
FBgn0003862,3142,2680,7364,3786,2236,2259,4519
FBgn0003866,1588,1650,4412,2273,1605,1667,3100
FBgn0003870,1134,1166,2742,1561,1074,1047,1808
FBgn0003882,606,723,1518,1066,695,783,1166
FBgn0003884,19457,24641,36356,43008,37797,39369,46994
FBgn0003885,1139,1365,2715,2312,1820,1673,2444
FBgn0003886,204,236,323,411,428,536,485
FBgn0003887,13313,15812,26438,23398,23427,25488,25371
FBgn0003888,3843,4367,7363,5828,6654,7323,7772
FBgn0003890,1291,1375,2191,2268,1108,1172,1279
FBgn0003891,10218,9685,24469,13601,7856,8092,15234
FBgn0003892,631,600,1345,746,593,587,883
FBgn0003941,12421,18850,36147,24459,15895,18623,24888
FBgn0003942,9516,16536,36389,21718,13345,14273,26546
FBgn0003943,682,1227,2905,2951,1298,758,2529
FBgn0003950,181,187,344,258,165,176,241
FBgn0003963,2439,2549,5792,2972,3244,3217,4926
FBgn0003964,1003,1116,1888,1267,1061,1131,1412
FBgn0003969,1280,1483,2911,2662,1601,1641,2994
FBgn0003977,1395,1393,2301,1637,1531,1609,1789
FBgn0003978,376,405,683,444,450,440,464
FBgn0003984,29,30,63,30,32,27,46
FBgn0003996,34,68,83,37,76,90,124
FBgn0003997,111,101,280,42,54,80,163
FBgn0004034,111,179,375,179,202,228,483
FBgn0004047,40,41,65,26,41,41,41
FBgn0004049,692,635,1814,999,629,763,1293
FBgn0004050,559,578,1123,514,629,715,850
FBgn0004055,829,984,2133,1621,957,1076,1864
FBgn0004057,684,777,1036,1064,692,826,756
FBgn0004066,1763,2274,3962,1938,2580,2802,4084
FBgn0004087,130,208,323,257,160,205,326
FBgn0004101,265,274,557,322,341,299,439
FBgn0004103,2932,3603,8868,5590,3568,3693,5973
FBgn0004106,281,328,763,639,334,331,868
FBgn0004107,114,143,363,261,182,184,303
FBgn0004108,342,411,545,473,712,788,861
FBgn0004132,359,460,1053,560,455,564,717
FBgn0004133,852,941,1847,1236,779,974,1149
FBgn0004167,35670,32592,77335,43940,36793,33172,54335
FBgn0004177,3317,3633,8785,4920,3524,4186,7145
FBgn0004179,687,867,1906,1310,811,830,1719
FBgn0004197,1024,1112,1882,1401,879,886,1145
FBgn0004198,3515,3244,7462,2835,2807,2920,4255
FBgn0004227,726,791,1770,1291,752,804,1330
FBgn0004237,3795,3622,6596,4136,3919,4419,4961
FBgn0004359,51,55,95,37,85,81,119
FBgn0004362,1869,2147,5634,3891,2613,2641,5209
FBgn0004363,3499,4805,8206,7390,5149,5444,7576
FBgn0004364,63,57,100,49,76,98,119
FBgn0004367,419,463,813,686,583,620,822
FBgn0004368,1201,1268,2391,1943,1671,1839,2174
FBgn0004369,771,757,1493,857,438,502,824
FBgn0004370,1521,1454,2921,1825,1617,1668,2447
FBgn0004373,2502,2335,5618,3695,2789,2792,5015
FBgn0004374,642,736,1030,916,722,773,898
FBgn0004378,1158,1318,2658,1768,1364,1467,2269
FBgn0004379,420,493,1022,647,559,597,903
FBgn0004380,499,597,1064,787,554,616,912
FBgn0004381,309,376,714,471,369,451,648
FBgn0004387,1665,1683,3355,2449,1506,1585,2234
FBgn0004390,1713,1601,3520,2386,2243,2539,3364
FBgn0004391,993,1082,1852,1468,1247,1313,1536
FBgn0004395,575,587,1431,820,520,577,1161
FBgn0004396,1147,974,3128,1292,2345,2565,5363
FBgn0004397,2533,2445,4632,3122,2420,2471,3181
FBgn0004400,132,148,378,247,164,192,547
FBgn0004401,5179,5134,9460,5763,5897,6400,8172
FBgn0004403,6042,11794,17856,16896,9837,8873,14050
FBgn0004404,1228,2415,7413,6994,2245,1537,4871
FBgn0004406,485,509,852,653,601,673,740
FBgn0004419,801,928,2451,1697,951,972,2645
FBgn0004432,4320,6151,9591,7707,6642,7178,10073
FBgn0004435,520,522,1877,1445,633,615,2426
FBgn0004436,932,1050,3721,1900,881,970,2659
FBgn0004449,1942,1778,3827,2386,1850,1759,2616
FBgn0004456,2628,2807,6142,5028,2556,2680,4264
FBgn0004462,309,342,702,421,296,369,508
FBgn0004463,415,489,858,794,516,557,817
FBgn0004465,455,513,802,761,596,633,664
FBgn0004507,906,1072,2160,943,2000,2226,2532
FBgn0004509,1088,1140,2134,1426,1173,1291,1593
FBgn0004510,392,450,909,575,477,498,664
FBgn0004512,310,381,580,320,442,512,612
FBgn0004556,249,253,652,344,231,255,441
FBgn0004569,198,192,499,267,183,207,367
FBgn0004574,2318,2693,4168,3813,2587,2856,3055
FBgn0004583,1976,1891,5162,3038,2293,2365,3936
FBgn0004584,1050,1261,2698,1366,1626,1746,2687
FBgn0004587,2893,3385,5632,4058,3870,3695,4515
FBgn0004595,39,27,48,28,55,56,63
FBgn0004597,143,168,266,258,213,265,391
FBgn0004598,2662,2823,5212,4018,2978,2956,3920
FBgn0004603,1039,1179,3033,2001,1454,1371,2659
FBgn0004606,12954,11365,26553,11382,10636,11404,14314
FBgn0004611,310,286,612,351,285,320,544
FBgn0004629,765,1168,1894,999,958,1160,1722
FBgn0004635,582,475,1163,676,416,492,787
FBgn0004636,3389,3781,9803,5127,4270,4579,8148
FBgn0004638,793,840,2609,1743,881,892,2743
FBgn0004643,821,957,1477,1206,1122,1271,1496
FBgn0004646,25,36,75,27,50,49,95
FBgn0004647,3570,3739,6787,4628,3675,3694,5026
FBgn0004648,801,840,1969,1459,984,1007,1731
FBgn0004650,100,120,297,154,65,90,123
FBgn0004652,2515,2195,5741,2586,1540,1633,3175
FBgn0004654,1453,1685,2502,2087,1781,1941,1949
FBgn0004655,1525,1454,3042,1897,1661,1490,2051
FBgn0004656,7438,6403,13497,5633,6546,6476,9722
FBgn0004657,4735,4897,10293,7431,4907,5212,7458
FBgn0004687,1803,2150,4265,2683,1694,1794,3292
FBgn0004698,1689,1884,4102,2714,1943,2132,4032
FBgn0004797,144,143,362,230,97,85,251
FBgn0004811,461,565,1127,734,550,625,880
FBgn0004828,7064,8675,17369,9864,8644,9444,14652
FBgn0004832,172,196,365,266,222,227,290
FBgn0004837,231,265,559,394,232,248,457
FBgn0004838,9237,8804,25250,11505,8963,9482,20127
FBgn0004852,114,108,193,168,117,99,151
FBgn0004855,215,290,575,455,306,367,424
FBgn0004856,864,1065,1824,1122,1094,1173,1517
FBgn0004858,35,25,75,30,21,18,28
